Metric,Training Metrics,Testing Metrics
Root Mean Squared Error,0.5609934844771604,1.117793779201158
Mean Squared Error,0.3147136896258259,1.2494629328208076
Mean Absolute Error,0.34053652058610606,0.7333260293519613
R-squared,0.9635527882951624,0.8946966626509724
Accuracy,96%,89%
